week_end,ALBFR.PA,ALBFR.PA_price_date,BL,BL_price_date,BILL,BILL_price_date,NCNO,NCNO_price_date,WK,WK_price_date,^FCHI,^FCHI_price_date,^GSPC,^GSPC_price_date,^IXIC,^IXIC_price_date,^STOXX,^STOXX_price_date
2025-09-19,231,2025-09-19,53.0099983215332,2025-09-19,52.34000015258789,2025-09-19,29.6299991607666,2025-09-19,79.66000366210938,2025-09-19,7853.58984375,2025-09-19,6664.35986328125,2025-09-19,22631.48046875,2025-09-19,554.1199951171875,2025-09-19
2025-09-26,234,2025-09-26,52.84000015258789,2025-09-26,54.18000030517578,2025-09-26,27.979999542236328,2025-09-26,85.79000091552734,2025-09-26,7870.68017578125,2025-09-26,6643.7001953125,2025-09-26,22484.0703125,2025-09-26,554.52001953125,2025-09-26
2025-10-03,245,2025-10-03,51.61000061035156,2025-10-03,53.34000015258789,2025-10-03,26.229999542236328,2025-10-03,87.80000305175781,2025-10-03,8081.5400390625,2025-10-03,6715.7900390625,2025-10-03,22780.509765625,2025-10-03,570.4500122070312,2025-10-03
2025-10-10,239,2025-10-10,49.09000015258789,2025-10-10,49.34000015258789,2025-10-10,25.020000457763672,2025-10-10,86.95999908447266,2025-10-10,7918,2025-10-10,6552.509765625,2025-10-10,22204.4296875,2025-10-10,564.1599731445312,2025-10-10
2025-10-17,258,2025-10-17,49.81999969482422,2025-10-17,51.08000183105469,2025-10-17,23.760000228881836,2025-10-17,87.79000091552734,2025-10-17,8174.2001953125,2025-10-17,6664.009765625,2025-10-17,22679.970703125,2025-10-17,566.239990234375,2025-10-17
2025-10-24,239,2025-10-24,52.560001373291016,2025-10-24,51.209999084472656,2025-10-24,26.06999969482422,2025-10-24,89.19000244140625,2025-10-24,8225.6298828125,2025-10-24,6791.68994140625,2025-10-24,23204.869140625,2025-10-24,575.760009765625,2025-10-24
2025-10-31,230,2025-10-31,57.25,2025-10-31,49.65999984741211,2025-10-31,26.68000030517578,2025-10-31,85.01000213623047,2025-10-31,8121.06982421875,2025-10-31,6840.2001953125,2025-10-31,23724.9609375,2025-10-31,571.8900146484375,2025-10-31
2025-11-07,226,2025-11-07,53.58000183105469,2025-11-07,45.59000015258789,2025-11-07,26.059999465942383,2025-11-07,89,2025-11-07,7950.18017578125,2025-11-07,6728.7998046875,2025-11-07,23004.5390625,2025-11-07,564.7899780273438,2025-11-07
2025-11-14,247,2025-11-14,54.66999816894531,2025-11-14,50.349998474121094,2025-11-14,25.520000457763672,2025-11-14,91.02999877929688,2025-11-14,8170.08984375,2025-11-14,6734.10986328125,2025-11-14,22900.58984375,2025-11-14,574.8099975585938,2025-11-14
2025-11-21,246,2025-11-21,54.86000061035156,2025-11-21,48.189998626708984,2025-11-21,24.389999389648438,2025-11-21,90.51000213623047,2025-11-21,7982.64990234375,2025-11-21,6602.990234375,2025-11-21,22273.080078125,2025-11-21,562.0999755859375,2025-11-21
